Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Non-operating Income/Expense,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2015-03-31 00:00:00,4359000000.0,259000000.0,4100000000.0,2816000000.0,1236000000.0,,1246000000.0,308000000.0,938000000.0,869000000.0,1.04,0.9406,0.0,0.2858,0.1994,-0.0062,1.04,-0.0345,1.0441,-0.0345,1.05,938000000.0,-38000000.0,900000000.0,0.0,0.0142,KEY
2014-12-31 00:00:00,4351000000.0,261000000.0,4090000000.0,2779000000.0,1272000000.0,,1272000000.0,326000000.0,946000000.0,878000000.0,1.04,0.94,0.0,0.2923,0.2018,0.2813,1.04,-0.04,1.0407,-0.04,1.05,946000000.0,-39000000.0,907000000.0,0.0,0.3034,KEY
2014-09-30 00:00:00,4317000000.0,263000000.0,4054000000.0,2795000000.0,1230000000.0,,1231000000.0,302000000.0,929000000.0,854000000.0,1.0,0.9391,0.0,0.2852,0.1978,0.2437,1.02,-0.0587,1.0024,-0.0588,1.03,929000000.0,-46000000.0,883000000.0,0.0,0.265,KEY
2014-06-30 00:00:00,4367000000.0,268000000.0,4099000000.0,2809000000.0,1259000000.0,,1257000000.0,297000000.0,960000000.0,940000000.0,1.05,0.9386,0.0,0.2878,0.2153,0.1809,1.04,0.0013,1.0885,0.0012,1.05,960000000.0,8000000.0,968000000.0,0.0,0.2027,KEY
2014-03-31 00:00:00,4359000000.0,278000000.0,4081000000.0,2843000000.0,1206000000.0,-21000000.0,1199000000.0,293000000.0,906000000.0,924000000.0,1.03,0.9362,0.0,0.2751,0.212,0.3152,0.98,0.0413,1.0547,0.0412,0.98,906000000.0,41000000.0,947000000.0,0.0,0.3377,KEY
2013-12-31 00:00:00,4386000000.0,295000000.0,4091000000.0,2906000000.0,1141000000.0,,1141000000.0,271000000.0,870000000.0,887000000.0,0.98,0.9327,0.0,0.2601,0.2022,0.3317,0.93,0.04,1.0039,0.04,0.93,870000000.0,40000000.0,910000000.0,0.0,0.3527,KEY
2013-09-30 00:00:00,4411000000.0,316000000.0,4095000000.0,2967000000.0,1094000000.0,-14000000.0,1085000000.0,254000000.0,831000000.0,855000000.0,0.94,0.9284,0.0,0.246,0.1938,0.3183,0.88,0.0611,0.9659,0.0611,0.87,831000000.0,52000000.0,883000000.0,0.0,0.3444,KEY
2013-06-30 00:00:00,4494000000.0,346000000.0,4148000000.0,3058000000.0,1065000000.0,-9000000.0,1061000000.0,246000000.0,815000000.0,808000000.0,0.88,0.923,0.0,0.2361,0.1798,0.3563,0.85,0.0243,0.9015,0.0243,0.85,815000000.0,18000000.0,833000000.0,0.0,0.4119,KEY
2013-03-31 00:00:00,4527000000.0,394000000.0,4133000000.0,3041000000.0,1076000000.0,-10000000.0,1071000000.0,228000000.0,843000000.0,841000000.0,0.9,0.913,0.0,0.2366,0.1858,0.5478,0.87,0.0243,0.9333,0.0243,0.87,843000000.0,27000000.0,870000000.0,0.0,0.579,KEY
2012-12-31 00:00:00,4561000000.0,441000000.0,4120000000.0,3040000000.0,1075000000.0,4000000.0,1073000000.0,231000000.0,842000000.0,836000000.0,0.88,0.9033,0.0,0.2353,0.1833,0.2491,0.86,0.0201,0.9213,0.0199,0.87,842000000.0,23000000.0,865000000.0,0.0,0.2848,KEY
