Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2015-03-31 00:00:00,1591540000.0,442428000.0,1149112000.0,108525000.0,358472900.0,-453293000.0,321315000.0,-94820000.0,9912000.0,-104732000.0,-104732000.0,-0.81,0.722,0.2252,-0.0596,-0.0658,0.2799,1049218900.0,358472900.0,-0.8101,-0.8109,-0.8109,-104732000.0,,-104732000.0,0.6592,0.4351,SBAC
2014-12-31 00:00:00,1526996000.0,428485000.0,1098511000.0,103317000.0,336522900.0,-352183000.0,319712000.0,-15660000.0,8635000.0,-24295000.0,-24295000.0,-0.19,0.7194,0.2204,-0.0103,-0.0159,0.3033,999550900.0,336522900.0,-0.1884,-0.1885,-0.1885,-24295000.0,,-24295000.0,0.6546,0.4416,SBAC
2014-09-30 00:00:00,1457659000.0,417019000.0,1040640000.0,98417000.0,299381000.0,-341269000.0,315945000.0,-41888000.0,1961000.0,-43849000.0,-43849000.0,-0.34,0.7139,0.2054,-0.0287,-0.0301,0.3039,938552000.0,299381000.0,-0.3296,-0.34,-0.34,-43849000.0,,-43849000.0,0.6439,0.4389,SBAC
2014-06-30 00:00:00,1396460000.0,408438000.0,988022000.0,93655000.0,273799000.0,-278307000.0,302168000.0,-4508000.0,1186000.0,-5694000.0,-5694000.0,-0.04,0.7075,0.1961,-0.0032,-0.0041,0.3104,878797000.0,273799000.0,-0.0435,-0.0428,-0.0428,-5694000.0,,-5694000.0,0.6293,0.4328,SBAC
2014-03-31 00:00:00,1337345000.0,404725000.0,932620000.0,89721000.0,240016000.0,-271124000.0,297638000.0,-31108000.0,1018000.0,-32126000.0,-32126000.0,-0.25,0.6974,0.1795,-0.0233,-0.024,0.2983,832168000.0,240016000.0,-0.2512,-0.2505,-0.2505,-32126000.0,,-32126000.0,0.6223,0.4214,SBAC
2013-12-31 00:00:00,1304866000.0,408253000.0,896613000.0,85476000.0,229645000.0,-286863000.0,298136000.0,-57218000.0,-1309000.0,-55909000.0,-55909000.0,-0.44,0.6871,0.176,-0.0438,-0.0428,0.2519,802358000.0,229645000.0,-0.4375,-0.4375,-0.4375,-55909000.0,,-55909000.0,0.6149,0.3813,SBAC
2013-09-30 00:00:00,1263310900.0,397141000.0,866169900.0,83389000.0,201249000.0,-287300000.0,302061000.0,-86051000.0,3226000.0,-89277000.0,-89233000.0,-0.7,0.6856,0.1593,-0.0681,-0.0706,0.1662,754080000.0,201249000.0,-0.7356,-0.7199,-0.7255,-89277000.0,,-89330000.0,0.5969,0.3534,SBAC
2013-06-30 00:00:00,1169822900.0,365529000.0,804293900.0,79127000.0,178418000.0,-338846000.0,297884000.0,-160428000.0,4048000.0,-164476000.0,-163209000.0,-1.3,0.6875,0.1525,-0.1371,-0.1395,0.2437,705624000.0,178418000.0,-1.3339,-1.3214,-1.3339,-164476000.0,,-163560000.0,0.6032,0.3593,SBAC
2013-03-31 00:00:00,1074664900.0,328009000.0,746655900.0,75364000.0,163622000.0,-342407000.0,283941000.0,-178785000.0,4626000.0,-183411000.0,-180782000.0,-1.46,0.6948,0.1523,-0.1664,-0.1682,0.2273,636049000.0,163622000.0,-1.5028,-1.4809,-1.5028,-183411000.0,,-181115000.0,0.5919,0.3435,SBAC
2012-12-31 00:00:00,954083900.0,279507000.0,674576900.0,72148000.0,147146000.0,-324238000.0,266351000.0,-177092000.0,6594000.0,-183686000.0,-181037000.0,-1.48,0.707,0.1542,-0.1856,-0.1897,0.2386,574866000.0,147146000.0,-1.53,-1.5081,-1.53,-183686000.0,2296000.0,-181390000.0,0.6025,0.3573,SBAC
